day train_id time block seq_nr
3 1 10 B1 1
3 1 10 B1 2
3 1 10 B1 3
3 1 10 B1 4
3 1 10 B1 5
3 1 10 B1 6
3 1 10 B1 7
3 1 10 B1 8
3 1 10 B1 9
3 1 10 B1 10
3 1 10 B1 11
3 1 10 B1 12
3 1 10 B1 13
3 1 10 B1 14
3 1 10 B1 15
3 1 10 B1 16
3 1 10 B1 17
3 1 10 B1 18
3 1 10 B1 19
3 1 10 B1 20
3 1 10 B1 21
3 1 10 B1 22
3 1 10 B1 23
3 1 10 B1 24
3 1 10 B1 25
3 1 10 B1 26
3 1 10 B1 27
3 1 10 B1 28
3 1 10 B1 29
3 1 10 B1 30
3 1 10 B2 31
3 1 10 B2 32
3 1 10 B2 33
3 1 10 B2 34
3 1 10 B2 35
3 1 10 B5 36
3 1 10 B5 37
3 2 10.1666666667 B3 1
3 2 10.1666666667 B3 2
3 2 10.1666666667 B3 3
3 2 10.1666666667 B3 4
3 2 10.1666666667 B3 5
3 2 10.1666666667 B3 6
3 2 10.1666666667 B3 7
3 2 10.1666666667 B3 8
3 2 10.1666666667 B3 9
3 2 10.1666666667 B3 10
3 2 10.1666666667 B3 11
3 2 10.1666666667 B3 12
3 2 10.1666666667 B3 13
3 2 10.1666666667 B3 14
3 2 10.1666666667 B3 15
3 2 10.1666666667 B3 16
3 2 10.1666666667 B3 17
3 2 10.1666666667 B3 18
3 2 10.1666666667 B3 19
3 2 10.1666666667 B3 20
3 2 10.1666666667 B3 21
3 2 10.1666666667 B3 22
3 2 10.1666666667 B3 23
3 2 10.1666666667 B3 24
3 2 10.1666666667 B3 25
3 2 10.1666666667 B3 26
3 2 10.1666666667 B3 27
3 2 10.1666666667 B3 28
3 2 10.1666666667 B3 29
3 2 10.1666666667 B3 30
3 2 10.1666666667 B4 31
3 2 10.1666666667 B4 32
3 2 10.1666666667 B4 33
3 2 10.1666666667 B4 34
3 2 10.1666666667 B4 35
3 2 10.1666666667 B5 36
3 2 10.1666666667 B5 37
3 2 10.1666666667 B5 38
3 2 10.1666666667 B5 39
3 2 10.1666666667 B5 40
3 3 10.5 B1 1
3 3 10.5 B1 2
3 3 10.5 B1 3
3 3 10.5 B1 4
3 3 10.5 B1 5
3 3 10.5 B1 6
3 3 10.5 B1 7
3 3 10.5 B1 8
3 3 10.5 B1 9
3 3 10.5 B1 10
3 3 10.5 B1 11
3 3 10.5 B1 12
3 3 10.5 B1 13
3 3 10.5 B1 14
3 3 10.5 B1 15
3 3 10.5 B1 16
3 3 10.5 B1 17
3 3 10.5 B2 18
3 3 10.5 B2 19
3 3 10.5 B2 20
3 3 10.5 B2 21
3 3 10.5 B2 22
3 3 10.5 B2 23
3 3 10.5 B2 24
3 3 10.5 B2 25
3 3 10.5 B2 26
3 3 10.5 B2 27
3 3 10.5 B2 28
3 3 10.5 B2 29
3 3 10.5 B2 30
3 3 10.5 B2 31
3 3 10.5 B2 32
3 3 10.5 B2 33
3 3 10.5 B2 34
3 3 10.5 B2 35
3 3 10.5 B4 36
3 3 10.5 B4 37
3 3 10.5 B4 38
3 4 10.7 B3 1
3 4 10.7 B3 2
3 4 10.7 B3 3
3 4 10.7 B3 4
3 4 10.7 B3 5
3 4 10.7 B3 6
3 4 10.7 B3 7
3 4 10.7 B3 8
3 4 10.7 B3 9
3 4 10.7 B3 10
3 4 10.7 B3 11
3 4 10.7 B3 12
3 4 10.7 B3 13
3 4 10.7 B3 14
3 4 10.7 B3 15
3 4 10.7 B3 16
3 4 10.7 B3 17
3 4 10.7 B3 18
3 4 10.7 B3 19
3 4 10.7 B3 20
3 4 10.7 B3 21
3 4 10.7 B3 22
3 4 10.7 B3 23
3 4 10.7 B3 24
3 4 10.7 B4 25
3 4 10.7 B4 26
3 4 10.7 B4 27
3 4 10.7 B4 28
3 4 10.7 B4 29
3 4 10.7 B4 30
3 4 10.7 B4 31
3 4 10.7 B4 32
3 4 10.7 B4 33
3 4 10.7 B4 34
3 4 10.7 B4 35
3 4 10.7 B6 36
3 4 10.7 B6 37
3 5 10.9166666667 B1 1
3 5 10.9166666667 B1 2
3 5 10.9166666667 B1 3
3 5 10.9166666667 B1 4
3 5 10.9166666667 B1 5
3 5 10.9166666667 B1 6
3 5 10.9166666667 B1 7
3 5 10.9166666667 B1 8
3 5 10.9166666667 B1 9
3 5 10.9166666667 B1 10
3 5 10.9166666667 B1 11
3 5 10.9166666667 B1 12
3 5 10.9166666667 B1 13
3 5 10.9166666667 B1 14
3 5 10.9166666667 B1 15
3 5 10.9166666667 B1 16
3 5 10.9166666667 B1 17
3 5 10.9166666667 B1 18
3 5 10.9166666667 B1 19
3 5 10.9166666667 B1 20
3 5 10.9166666667 B2 21
