day train_id time block seq_nr
1 1 1.2879420647 AX 1
1 1 1.2879420647 AR 2
1 1 1.2879420647 AZ 3
1 1 1.2879420647 AV 4
1 1 1.2879420647 AY 5
1 1 1.2879420647 AP 6
1 1 1.2879420647 AR 7
1 1 1.2879420647 AD 8
1 1 1.2879420647 AB 9
1 1 1.2879420647 AV 10
1 1 1.2879420647 AR 11
1 1 1.2879420647 AB 12
1 1 1.2879420647 AJ 13
1 1 1.2879420647 AM 14
1 1 1.2879420647 AC 15
1 1 1.2879420647 AR 16
1 1 1.2879420647 AN 17
1 1 1.2879420647 AN 18
1 1 1.2879420647 AE 19
1 1 1.2879420647 AG 20
1 1 1.2879420647 BC 21
1 1 1.2879420647 AW 22
1 1 1.2879420647 AT 23
1 1 1.2879420647 AT 24
1 1 1.2879420647 AB 25
1 1 1.2879420647 AK 26
1 1 1.2879420647 AH 27
1 1 1.2879420647 AX 28
1 1 1.2879420647 AC 29
1 1 1.2879420647 AY 30
1 2 5.880127378 AF 1
1 2 5.880127378 AW 2
1 2 5.880127378 AD 3
1 2 5.880127378 AX 4
1 2 5.880127378 BG 5
1 2 5.880127378 AK 6
1 2 5.880127378 AF 7
1 2 5.880127378 AP 8
1 2 5.880127378 AI 9
1 2 5.880127378 AX 10
1 2 5.880127378 AW 11
1 2 5.880127378 AW 12
1 2 5.880127378 BD 13
1 2 5.880127378 AU 14
1 2 5.880127378 AP 15
1 2 5.880127378 AH 16
1 2 5.880127378 BF 17
1 2 5.880127378 BD 18
1 2 5.880127378 BG 19
1 2 5.880127378 BD 20
1 2 5.880127378 AN 21
1 2 5.880127378 AY 22
1 2 5.880127378 AK 23
1 2 5.880127378 BG 24
1 2 5.880127378 AC 25
1 2 5.880127378 AC 26
1 2 5.880127378 AC 27
1 2 5.880127378 BG 28
1 2 5.880127378 AS 29
1 2 5.880127378 BD 30
1 2 5.880127378 AJ 31
1 2 5.880127378 AF 32
1 2 5.880127378 AN 33
1 2 5.880127378 AA 34
1 2 5.880127378 BE 35
1 2 5.880127378 AY 36
1 2 5.880127378 AH 37
1 2 5.880127378 AX 38
1 2 5.880127378 BF 39
1 2 5.880127378 AU 40
1 2 5.880127378 AW 41
1 2 5.880127378 AJ 42
1 2 5.880127378 AM 43
1 2 5.880127378 AW 44
1 2 5.880127378 AV 45
1 2 5.880127378 AW 46
1 2 5.880127378 BC 47
1 2 5.880127378 AL 48
1 2 5.880127378 AW 49
1 2 5.880127378 AW 50
1 3 6.817635485 AC 1
1 3 6.817635485 AX 2
1 3 6.817635485 AF 3
1 3 6.817635485 AK 4
1 3 6.817635485 AA 5
1 3 6.817635485 AV 6
1 3 6.817635485 BG 7
1 3 6.817635485 AD 8
1 3 6.817635485 AZ 9
1 3 6.817635485 AD 10
1 3 6.817635485 AF 11
1 3 6.817635485 AL 12
1 3 6.817635485 BB 13
1 3 6.817635485 AM 14
1 3 6.817635485 AR 15
1 3 6.817635485 AA 16
1 3 6.817635485 BG 17
1 3 6.817635485 AD 18
1 3 6.817635485 AX 19
1 3 6.817635485 AS 20
1 3 6.817635485 AA 21
1 3 6.817635485 AY 22
1 3 6.817635485 AA 23
1 3 6.817635485 AH 24
1 3 6.817635485 AH 25
1 3 6.817635485 AW 26
1 3 6.817635485 AD 27
1 3 6.817635485 AJ 28
1 3 6.817635485 AK 29
1 3 6.817635485 AT 30
1 4 8.2094724937 AJ 1
1 4 8.2094724937 AK 2
1 4 8.2094724937 AS 3
1 4 8.2094724937 BD 4
1 4 8.2094724937 AQ 5
1 4 8.2094724937 AD 6
1 4 8.2094724937 BG 7
1 4 8.2094724937 AJ 8
1 4 8.2094724937 AS 9
1 4 8.2094724937 AF 10
1 4 8.2094724937 AE 11
1 4 8.2094724937 AV 12
1 4 8.2094724937 AV 13
1 4 8.2094724937 AA 14
1 4 8.2094724937 AW 15
1 4 8.2094724937 AA 16
1 4 8.2094724937 AZ 17
1 4 8.2094724937 AK 18
1 4 8.2094724937 BF 19
1 4 8.2094724937 BC 20
1 4 8.2094724937 BG 21
1 4 8.2094724937 AN 22
1 4 8.2094724937 AB 23
1 4 8.2094724937 AW 24
1 4 8.2094724937 AW 25
1 4 8.2094724937 BE 26
1 4 8.2094724937 AF 27
1 4 8.2094724937 AL 28
1 4 8.2094724937 AH 29
1 4 8.2094724937 BC 30
1 4 8.2094724937 AO 31
1 4 8.2094724937 AQ 32
1 4 8.2094724937 BE 33
1 4 8.2094724937 AC 34
1 4 8.2094724937 AN 35
1 4 8.2094724937 AF 36
1 4 8.2094724937 AO 37
1 4 8.2094724937 AQ 38
1 4 8.2094724937 AW 39
1 4 8.2094724937 AX 40
1 4 8.2094724937 BD 41
1 4 8.2094724937 AU 42
1 4 8.2094724937 AW 43
1 4 8.2094724937 AY 44
1 4 8.2094724937 AB 45
1 4 8.2094724937 AV 46
1 4 8.2094724937 AE 47
1 4 8.2094724937 AY 48
1 4 8.2094724937 AV 49
1 4 8.2094724937 AY 50
1 4 8.2094724937 AV 51
1 4 8.2094724937 BE 52
1 4 8.2094724937 AD 53
1 4 8.2094724937 BB 54
1 4 8.2094724937 AV 55
1 4 8.2094724937 AP 56
1 4 8.2094724937 AP 57
1 4 8.2094724937 AF 58
1 4 8.2094724937 AL 59
1 4 8.2094724937 AR 60
1 4 8.2094724937 AP 61
1 4 8.2094724937 AV 62
1 4 8.2094724937 AP 63
1 4 8.2094724937 AA 64
1 4 8.2094724937 AR 65
1 4 8.2094724937 AJ 66
1 4 8.2094724937 AP 67
1 4 8.2094724937 AC 68
1 4 8.2094724937 AJ 69
1 4 8.2094724937 AW 70
1 4 8.2094724937 AX 71
1 4 8.2094724937 AV 72
1 4 8.2094724937 AZ 73
1 4 8.2094724937 BG 74
1 4 8.2094724937 AK 75
1 4 8.2094724937 AH 76
1 4 8.2094724937 AB 77
1 4 8.2094724937 AX 78
1 4 8.2094724937 AM 79
1 4 8.2094724937 AM 80
1 5 9.7112686967 AV 1
1 5 9.7112686967 AR 2
1 5 9.7112686967 BG 3
1 5 9.7112686967 AQ 4
1 5 9.7112686967 AH 5
1 5 9.7112686967 AB 6
1 5 9.7112686967 AI 7
1 5 9.7112686967 AH 8
1 5 9.7112686967 AK 9
1 5 9.7112686967 AW 10
1 5 9.7112686967 AP 11
1 5 9.7112686967 AX 12
1 5 9.7112686967 AA 13
1 5 9.7112686967 AH 14
1 5 9.7112686967 AP 15
1 5 9.7112686967 AO 16
1 5 9.7112686967 AB 17
1 5 9.7112686967 AB 18
1 5 9.7112686967 AJ 19
1 5 9.7112686967 AC 20
1 5 9.7112686967 AY 21
1 5 9.7112686967 AQ 22
1 5 9.7112686967 AK 23
1 5 9.7112686967 BE 24
1 5 9.7112686967 AC 25
1 5 9.7112686967 AN 26
